show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,8,2,Kansas City,Kansas City,Missouri,NA,"39.099727,-94.578567",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.099727,-94.578567,"Season 8 | Ep. 2 | Kansas City, Missouri",USA
No Reservations,8,2,Kansas City,Kansas City,Kansas,NA,"39.114053,-94.627464",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.114053,-94.627464,"Season 8 | Ep. 2 | Kansas City, Kansas",USA
No Reservations,8,3,Croatian Coast,Zadar,Croatia,NA,"44.119371,15.231365",http://www.noreservationslocations.com/croatian-coast-episode.html,44.119371,15.231365,"Season 8 | Ep. 3 | Zadar, Croatia",Croatia
No Reservations,8,3,Croatian Coast,Motovun,Croatia,NA,"45.335951,13.827861",http://www.noreservationslocations.com/croatian-coast-episode.html,45.335951,13.827861,"Season 8 | Ep. 3 | Motovun, Croatia",Croatia
No Reservations,8,3,Croatian Coast,Skradin,Croatia,NA,"43.817637,15.923255",http://www.noreservationslocations.com/croatian-coast-episode.html,43.817637,15.923255,"Season 8 | Ep. 3 | Skradin, Croatia",Croatia
No Reservations,8,4,Lisbon,Lisbon,Portugal,NA,"38.722252,-9.139337",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,38.722252,-9.139337,"Season 8 | Ep. 4 | Lisbon, Portugal",Portugal
No Reservations,8,5,Japan: Cook It Raw,Tokyo,Japan,NA,"35.689487,139.691706",https://www.imdb.com/title/tt2375989/locations?ref_=tt_dt_dt,35.689487,139.691706,"Season 8 | Ep. 5 | Tokyo, Japan",Japan
No Reservations,8,5,Japan: Cook It Raw,"Kaga, Ishikawa",Japan,NA,"36.302624,136.314627",https://www.imdb.com/title/tt2375989/locations?ref_=tt_dt_dt,36.302624,136.314627,"Season 8 | Ep. 5 | Kaga, Ishikawa, Japan",Japan
No Reservations,8,5,Japan: Cook It Raw,"Kanazawa, Ishikawa",Japan,NA,"36.561325,136.656205",https://www.imdb.com/title/tt2375989/locations?ref_=tt_dt_dt,36.561325,136.656205,"Season 8 | Ep. 5 | Kanazawa, Ishikawa, Japan",Japan
No Reservations,8,5,Japan: Cook It Raw,"Hakusan City, Ishikawa",Japan,NA,"36.514427,136.565892",https://www.imdb.com/title/tt2375989/locations?ref_=tt_dt_dt,36.514427,136.565892,"Season 8 | Ep. 5 | Hakusan City, Ishikawa, Japan",Japan
No Reservations,8,6,Finland,Helsinki,Finland,NA,"60.169856,24.938379",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,60.169856,24.938379,"Season 8 | Ep. 6 | Helsinki, Finland",Finland
No Reservations,8,7,Baja,"Ensenada, Baja California Norte",Mexico,NA,"31.866743,-116.596371",https://www.imdb.com/title/tt2155960/locations?ref_=tt_dt_dt,31.866743,-116.596371,"Season 8 | Ep. 7 | Ensenada, Baja California Norte, Mexico",Mexico
No Reservations,8,7,Baja,"Tijuana, Baja California Norte",Mexico,NA,"32.514947,-117.038247",https://www.imdb.com/title/tt2155960/locations?ref_=tt_dt_dt,32.514947,-117.038247,"Season 8 | Ep. 7 | Tijuana, Baja California Norte, Mexico",Mexico
No Reservations,8,8,Penang,Penang,Malaysia,NA,"5.416393,100.332679",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,5.416393,100.332679,"Season 8 | Ep. 8 | Penang, Malaysia",Malaysia
No Reservations,9,1,Austin,Austin,United States,Texas,"30.267153,-97.743061",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,30.267153,-97.743061,"Season 9 | Ep. 1 | Austin, United States",USA
No Reservations,9,2,Sydney,Sydney,Australia,NA,"-33.868820,151.209296",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-33.86882,151.209296,"Season 9 | Ep. 2 | Sydney, Australia",Australia
No Reservations,9,3,"Sex, Drugs And Rock & Roll",Phnom Penh,Cambodia,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,11.5563738,104.9282099,"Season 9 | Ep. 3 | Phnom Penh, Cambodia",Cambodia
No Reservations,9,4,Emilia Romagna,Bologna,Italy,NA,"44.494887,11.342616",https://www.imdb.com/title/tt2388838/locations?ref_=tt_dt_dt,44.494887,11.342616,"Season 9 | Ep. 4 | Bologna, Italy",Italy
No Reservations,9,4,Emilia Romagna,Polesine Parmense,Italy,NA,"45.020027,10.088044",https://www.imdb.com/title/tt2388838/locations?ref_=tt_dt_dt,45.020027,10.088044,"Season 9 | Ep. 4 | Polesine Parmense, Italy",Italy
